County,Feature,Coefficient,Value
Appling,% Children in Poverty,a,-606024.4347601316
Appling,% Children in Poverty,b,601.4139361579415
Appling,% Children in Poverty,c,-0.14920079922410423
Atkinson,% Children in Poverty,a,83022.9857836963
Atkinson,% Children in Poverty,b,-81.64305750716751
Atkinson,% Children in Poverty,c,0.02007992021975724
Bacon,% Children in Poverty,a,-653412.6180806011
Bacon,% Children in Poverty,b,647.9807193782465
Bacon,% Children in Poverty,c,-0.16063936066348106
Baker,% Children in Poverty,a,-355554.82306742773
Baker,% Children in Poverty,b,352.51043955087465
Baker,% Children in Poverty,c,-0.0873626373602292
Baldwin,% Children in Poverty,a,-629356.2700746794
Baldwin,% Children in Poverty,b,624.3662337115413
Baldwin,% Children in Poverty,c,-0.15484515483160521
Banks,% Children in Poverty,a,-490121.50537598185
Banks,% Children in Poverty,b,486.7199300513759
Banks,% Children in Poverty,c,-0.12082917082454969
Barrow,% Children in Poverty,a,-563182.2840722449
Barrow,% Children in Poverty,b,559.0080420139461
Barrow,% Children in Poverty,c,-0.13871128872517602
Bartow,% Children in Poverty,a,-471534.8884347374
Bartow,% Children in Poverty,b,468.23481510886154
Bartow,% Children in Poverty,c,-0.11623376621497528
Ben Hill,% Children in Poverty,a,-981487.6205549515
Ben Hill,% Children in Poverty,b,973.8522478268742
Ben Hill,% Children in Poverty,c,-0.24155844157689899
Berrien,% Children in Poverty,a,-549331.4763726799
Berrien,% Children in Poverty,b,545.3983018458255
Berrien,% Children in Poverty,c,-0.13536463540117438
Bibb,% Children in Poverty,a,-608493.7221614049
Bibb,% Children in Poverty,b,603.3458541299689
Bibb,% Children in Poverty,c,-0.14955044954660934
Bleckley,% Children in Poverty,a,-415495.52530193666
Bleckley,% Children in Poverty,b,412.04410602024126
Bleckley,% Children in Poverty,c,-0.10214785217914368
Brantley,% Children in Poverty,a,-526935.1418761892
Brantley,% Children in Poverty,b,522.9086413768937
Brantley,% Children in Poverty,c,-0.12972027972489286
Brooks,% Children in Poverty,a,-471094.90669133235
Brooks,% Children in Poverty,b,467.52127871911574
Brooks,% Children in Poverty,c,-0.11598401598342889
Bryan,% Children in Poverty,a,-186295.86029733552
Bryan,% Children in Poverty,b,185.36168826970362
Bryan,% Children in Poverty,c,-0.04610389609348431
Bulloch,% Children in Poverty,a,-607007.7396038617
Bulloch,% Children in Poverty,b,602.5031467976395
Bulloch,% Children in Poverty,c,-0.14950049948686228
Burke,% Children in Poverty,a,-254017.01745254282
Burke,% Children in Poverty,b,253.30509487532586
Burke,% Children in Poverty,c,-0.06313686312947198
Butts,% Children in Poverty,a,-510353.24649148143
Butts,% Children in Poverty,b,506.0215285092519
Butts,% Children in Poverty,c,-0.12542457543395358
Calhoun,% Children in Poverty,a,-486139.6029816794
Calhoun,% Children in Poverty,b,482.2357643197662
Calhoun,% Children in Poverty,c,-0.1195804196012773
Camden,% Children in Poverty,a,-546500.0668263178
Camden,% Children in Poverty,b,542.1746254669052
Camden,% Children in Poverty,c,-0.13446553448841314
Candler,% Children in Poverty,a,-843823.09135928
Candler,% Children in Poverty,b,837.2912089404391
Candler,% Children in Poverty,c,-0.20769230772930314
Carroll,% Children in Poverty,a,-705364.3723961321
Carroll,% Children in Poverty,b,699.72557449378
Carroll,% Children in Poverty,c,-0.17352647354346118
Catoosa,% Children in Poverty,a,-308967.63691066694
Catoosa,% Children in Poverty,b,306.834115832245
Catoosa,% Children in Poverty,c,-0.07617382616098212
Charlton,% Children in Poverty,a,-440428.7527760157
Charlton,% Children in Poverty,b,436.69945057796116
Charlton,% Children in Poverty,c,-0.10824175824882332
Chatham,% Children in Poverty,a,-302049.2641863343
Chatham,% Children in Poverty,b,300.0830167359092
Chatham,% Children in Poverty,c,-0.07452547446422386
Chattahoochee,% Children in Poverty,a,-800418.244365969
Chattahoochee,% Children in Poverty,b,793.7997005082516
Chattahoochee,% Children in Poverty,c,-0.19680319685494396
Chattooga,% Children in Poverty,a,-403984.5965773676
Chattooga,% Children in Poverty,b,400.8961537214104
Chattooga,% Children in Poverty,c,-0.09945054941965736
Cherokee,% Children in Poverty,a,-306867.1511214652
Cherokee,% Children in Poverty,b,304.57987010274445
Cherokee,% Children in Poverty,c,-0.07557442556770866
Clarke,% Children in Poverty,a,-1104259.5338559938
Clarke,% Children in Poverty,b,1095.7713287604674
Clarke,% Children in Poverty,c,-0.27182817185030217
Clay,% Children in Poverty,a,-973446.3239459352
Clay,% Children in Poverty,b,966.5462039653173
Clay,% Children in Poverty,c,-0.2399100899522182
Clayton,% Children in Poverty,a,-976425.7540663674
Clayton,% Children in Poverty,b,968.8197300920435
