County,Year,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Injury Death Rate,Teen Birth Rate,Violent Crime Rate
Appling,2011,31.3,13.2,23.0,12.615182194618683,24.6,4598.3,3045.6,163.54138475377113,78.4,215.38222957774997
Appling,2012,35.7,11.0,20.2,10.7,23.7,4943.4,2972.6,143.53534102533013,79.8,196.31958889774978
Appling,2013,34.0,9.6,24.8,11.0,24.9,4251.6,2879.6,126.24974339269102,88.350465002,184.94967856816947
Appling,2014,34.8,12.605479532251138,27.8,10.317787866,25.189602645,4606.3,2820.9,116.4,91.405861898,211.08465036
Appling,2015,40.3,13.039029479023611,27.8,10.023661002,24.231523872,4248.4,2920.8,104.05143427,91.067429709,186.0189254
Appling,2016,36.5,14.2,17.9,8.9411222491,24.051211706,3581.5,2968.3,79.687363549,86.215538847,186.0189254
Appling,2017,34.2,15.064098856,18.638610508,7.0938999315,20.902255639,3444.7,2802.2,82.409837132,81.292602878,161.14304131
Appling,2018,31.6,14.686055105,20.200401211,6.4250946458,19.165286519,3366.3,2539.6,73.728721674,71.70492649,161.14304131
Appling,2019,33.5,14.686055105,20.200401211,5.5285606306,17.608928094,3883.4,2659.6,80.101317342,66.978193146,379.19826652
Appling,2020,34.0,14.310234745,20.18941483,4.3454223795,19.145356662,3116.0,2510.2,93.023255814,58.610895946,379.19826652
Appling,2021,31.0,15.860676715,24.549106075,3.879217709,18.718346951,3559.1,2839.7,89.928057554,53.626943005,379.19826652
Appling,2022,29.9,16.700185034,25.3,4.73366282,20.584402222,4324.9,3044.3,95.478859028,49.379524302,379.19826652
Appling,2023,27.6,16.108220334,24.8,3.5745047373,19.856175382,4070.9249999970198,2942.8363636359572,95.478859028,49.379524302,494.3507444784045
Atkinson,2011,34.8,6.0,17.2,19.73774067685008,31.5,2222.8,1141.1,22.557782536372542,115.9,424.27813789
Atkinson,2012,58.1,3.9,14.9,16.2,28.7,6084.0,2728.2,41.72381292935461,106.5,424.27813789
Atkinson,2013,44.3,3.7,16.2,14.0,32.0,5380.0,2991.6,58.47304379288107,93.689320388,424.27813789
Atkinson,2014,38.4,9.182458365452476,18.489376906771213,13.370749422,33.952680123,5460.3,3332.1,69.6,91.646778043,424.27813789
Atkinson,2015,38.4,10.740127561963163,19.465757830126677,10.995641971,30.364983535,5132.2,3012.6,86.074980872,90.167865707,424.27813789
Atkinson,2016,37.7,14.0,21.0,7.7453142227,31.877310694,5572.3,3166.9,95.812973077,91.606714628,424.27813789
Atkinson,2017,40.5,14.631043002,20.922521496,5.5785123967,27.935447969,5634.1,2649.2,105.74889444,89.681774349,424.27813789
Atkinson,2018,41.6,14.423521048,23.552668782,5.2474508829,25.582036093,5520.1,3061.3,106.10591299,81.265206813,424.27813789
Atkinson,2019,36.5,14.423521048,23.552668782,4.4951923077,24.172884697,5009.2,2535.2,105.95771324,78.017664377,424.27813789
Atkinson,2020,42.2,13.949385202,21.822200509,3.5337310693,22.387419585,3181.2,2192.3,103.53213108,70.019723866,424.27813789
Atkinson,2021,36.8,15.189826703,25.603802663,3.0457933972,24.870466321,3956.6,1835.3,108.49909584,65.982404692,424.27813789
Atkinson,2022,33.8,15.508178619,25.5,3.87911592,23.802505527,3910.5,2089.7,96.455268869,56.640625,424.27813789
Atkinson,2023,38.7,15.099607918,25.5,2.9091716633,25.75779342,2230.8431817889214,1007.1750000119209,96.455268869,56.640625,424.27813789
Bacon,2011,29.8,10.5,14.089624667860335,12.406782482052222,22.0,5141.5,3775.8,134.7302318662405,85.3,
Bacon,2012,35.5,11.3,14.551275175850606,10.3,24.0,5509.9,3572.1,126.69986619823612,90.1,
Bacon,2013,35.3,10.0,14.9,9.9,26.4,4903.7,3593.1,119.32015881850384,96.085409253,333.20639756
Bacon,2014,33.8,12.94497299368959,15.763152935251128,9.8342541436,26.652609383,4671.6,3980.1,116.6,91.592920354,
Bacon,2015,36.5,13.754329353570938,16.51338018674869,8.282402529,25.204634846,4752.6,3203.8,102.48480708,93.286835222,
Bacon,2016,39.4,15.1,18.2,6.963329213,25.350616235,3244.8,3244.8,94.902143356,83.156554943,
