County,Year,Variable,Value,CI_Low,CI_High
Appling,2011,Percent of Deaths by Cause-All Opioids,N/A,N/A,N/A
Effingham,2011,Teen Birth Rate,42.2,38.4,46.1
Pulaski,2011,Teen Birth Rate,65.4,54.9,75.8
Stephens,2011,% Children in Poverty,24.3,18.1,30.5
Walker,2011,Homicide Rate,4.8,2.7,6.8
Chatham,2011,Teen Birth Rate,58.8,56.9,60.8
Chattooga,2011,Teen Birth Rate,91.2,82.7,99.7
Atkinson,2011,Teen Birth Rate,115.9,100.3,131.5
Stewart,2011,ACSC Rate,104.1651,87.9227,120.4075
Chattooga,2011,% Excessive Drinking,8.9,4.0,18.7
Wilkinson,2011,ACSC Rate,81.996,71.1608,92.8312
Wilkinson,2011,Teen Birth Rate,68.8,58.6,79.0
Wilkes,2011,Homicide Rate,2.7,0.3,9.9
Harris,2011,ACSC Rate,47.5264,41.083,53.9699
Elbert,2011,% Uninsured,23.7,19.5,27.9
Floyd,2011,% Excessive Drinking,10.2,6.6,15.4
Quitman,2011,Mammography Rate,56.0,26.6654,85.3346
Wilkinson,2011,Mammography Rate,67.8571,46.2817,89.4326
Echols,2011,% Uninsured,42.8,36.3,49.3
Rabun,2011,Mammography Rate,61.2245,45.7326,76.7164
Rabun,2011,ACSC Rate,94.5231,85.9592,103.0869
Elbert,2011,% Children in Poverty,26.5,19.7,33.3
Fannin,2011,% Excessive Drinking,13.5,7.8,22.3
Elbert,2011,% Excessive Drinking,8.4,4.1,16.2
Effingham,2011,% Children in Poverty,13.8,10.3,17.3
Wayne,2011,Homicide Rate,10.7,6.1,15.3
Wilkes,2011,Mammography Rate,40.9836,24.918,57.0492
Bleckley,2011,Mammography Rate,70.2128,46.2567,94.1688
Gilmer,2011,% Children in Poverty,25.9,19.5,32.3
Effingham,2011,% Uninsured,20.5,16.8,24.2
Pickens,2011,Homicide Rate,3.1,1.1,6.8
Bleckley,2011,Teen Birth Rate,44.7,38.0,51.4
Upson,2011,Mammography Rate,55.7252,42.9418,68.5086
Dooly,2011,% Excessive Drinking,7.5,3.0,17.2
Dodge,2011,% Children in Poverty,29.3,21.8,36.8
Atkinson,2011,% Children in Poverty,34.8,26.1,43.5
Elbert,2011,Teen Birth Rate,63.4,56.2,70.5
Pickens,2011,Teen Birth Rate,66.9,60.0,73.9
Chatham,2011,% Uninsured,24.2,20.9,27.5
Bacon,2011,ACSC Rate,199.6714,180.5296,218.8133
Worth,2011,YPLL Rate,9615.7,8134.7,11096.8
Twiggs,2011,% Excessive Drinking,N/A,N/A,N/A
Seminole,2011,% Excessive Drinking,6.0,2.4,14.3
Paulding,2011,% Excessive Drinking,12.9,9.1,17.8
Walton,2011,YPLL Rate,7563.9,6891.6,8236.1
Evans,2011,Teen Birth Rate,94.0,82.6,105.5
Hall,2011,YPLL Rate,6981.0,6556.7,7405.3
Banks,2011,Teen Birth Rate,62.4,53.7,71.0
Mitchell,2011,% Uninsured,20.3,16.4,24.2
Meriwether,2011,% Uninsured,21.0,17.2,24.8
Pierce,2011,% Children in Poverty,27.8,20.5,35.2
Pike,2011,% Excessive Drinking,N/A,N/A,N/A
McDuffie,2011,% Children in Poverty,27.3,20.2,34.4
Montgomery,2011,% Uninsured,27.2,22.8,31.6
Paulding,2011,Teen Birth Rate,38.7,36.1,41.3
Pickens,2011,ACSC Rate,83.0753,76.1761,89.9745
Walton,2011,Mammography Rate,61.4583,52.4041,70.5125
Quitman,2011,% Excessive Drinking,N/A,N/A,N/A
Toombs,2011,% Excessive Drinking,11.8,7.1,19.1
Toombs,2011,Teen Birth Rate,83.1,76.3,89.9
Wilkes,2011,ACSC Rate,108.2814,97.3509,119.2119
Glynn,2011,% Uninsured,23.4,19.8,27.0
Jackson,2011,% Uninsured,22.4,18.3,26.5
Cook,2011,Mammography Rate,58.5106,43.0471,73.9742
Evans,2011,% Children in Poverty,34.3,25.5,43.1
Ben Hill,2011,YPLL Rate,11315.1,9607.5,13022.8
Dawson,2011,% Excessive Drinking,N/A,N/A,N/A
Walker,2011,Mammography Rate,54.8485,46.8578,62.8391
Franklin,2011,% Children in Poverty,26.4,19.8,33.0
Early,2011,Teen Birth Rate,76.1,66.5,85.7
Stephens,2011,% Excessive Drinking,7.1,3.4,14.2
Charlton,2011,% Uninsured,19.7,15.9,23.5
Warren,2011,ACSC Rate,80.6342,67.5545,93.7139
Henry,2011,% Children in Poverty,11.7,9.2,14.2
Bryan,2011,Teen Birth Rate,43.2,38.5,48.0
Bulloch,2011,YPLL Rate,7923.5,7131.5,8715.4
Bryan,2011,Homicide Rate,4.2,1.8,8.4
Bibb,2011,Teen Birth Rate,62.6,60.3,64.9
Jeff Davis,2011,% Excessive Drinking,N/A,N/A,N/A
Jefferson,2011,% Children in Poverty,32.9,24.6,41.2
Early,2011,% Children in Poverty,38.3,28.6,48.0
Fayette,2011,Teen Birth Rate,15.7,14.2,17.2
Emanuel,2011,Teen Birth Rate,85.1,77.7,92.5
Fannin,2011,% Children in Poverty,25.9,19.0,32.8
Richmond,2011,Teen Birth Rate,71.6,69.3,74.0
Webster,2011,ACSC Rate,90.6173,61.4184,119.8162
Cook,2011,% Uninsured,24.0,19.7,28.3
Glascock,2011,% Uninsured,18.4,14.6,22.2
Whitfield,2011,% Uninsured,26.8,23.1,30.5
Pulaski,2011,% Children in Poverty,25.1,18.5,31.7
Thomas,2011,% Excessive Drinking,10.4,6.1,17.0
Habersham,2011,Mammography Rate,65.625,53.0725,78.1775
Crawford,2011,% Excessive Drinking,5.6,2.0,14.8
Gordon,2011,Homicide Rate,5.3,3.1,8.4
Forsyth,2011,Teen Birth Rate,32.9,30.6,35.2
Crawford,2011,Teen Birth Rate,35.0,28.3,41.7
Dade,2011,% Children in Poverty,17.4,12.9,21.9
DeKalb,2011,Teen Birth Rate,47.2,46.1,48.3
Decatur,2011,% Excessive Drinking,7.0,4.5,10.7
Glynn,2011,% Children in Poverty,26.4,20.8,32.0
Fayette,2011,YPLL Rate,4730.9,4226.3,5235.5
Screven,2011,% Excessive Drinking,8.1,3.8,16.4
Gordon,2011,Mammography Rate,53.4783,44.0272,62.9293
Henry,2011,Teen Birth Rate,41.6,39.5,43.7
Colquitt,2011,% Children in Poverty,29.8,23.5,36.1
Greene,2011,% Excessive Drinking,10.0,4.3,21.6
Franklin,2011,Teen Birth Rate,68.9,61.6,76.3
Cherokee,2011,% Excessive Drinking,18.5,15.0,22.6
Thomas,2011,Teen Birth Rate,72.6,67.4,77.7
Jenkins,2011,Homicide Rate,13.3,5.7,26.2
Grady,2011,Teen Birth Rate,90.8,83.2,98.4
Dade,2011,% Uninsured,18.3,14.7,21.9
Glascock,2011,% Children in Poverty,19.0,14.0,24.0
Jasper,2011,YPLL Rate,9203.7,7470.4,11218.6
Columbia,2011,Teen Birth Rate,27.4,25.4,29.4
Douglas,2011,% Children in Poverty,14.7,11.3,18.1
Gordon,2011,Teen Birth Rate,96.0,90.0,102.0
Gordon,2011,% Uninsured,25.4,21.0,29.8
Cherokee,2011,% Uninsured,20.8,17.7,23.9
Gordon,2011,% Excessive Drinking,11.0,6.0,19.5
Upson,2011,Homicide Rate,6.2,3.2,10.9
Spalding,2011,YPLL Rate,10507.4,9626.2,11388.7
Forsyth,2011,% Excessive Drinking,18.4,14.8,22.8
Haralson,2011,Teen Birth Rate,74.3,67.4,81.2
Coweta,2011,% Uninsured,18.9,15.7,22.1
Clay,2011,Teen Birth Rate,76.3,57.7,94.8
Clayton,2011,% Children in Poverty,20.8,16.9,24.7
Cobb,2011,% Uninsured,20.9,18.3,23.5
Cobb,2011,% Children in Poverty,11.0,9.1,12.9
Coffee,2011,% Excessive Drinking,18.4,12.8,25.6
Coffee,2011,Teen Birth Rate,100.8,94.3,107.3
Coffee,2011,% Uninsured,23.8,20.1,27.5
Coffee,2011,% Children in Poverty,28.2,21.3,35.1
Pulaski,2011,% Uninsured,21.4,17.5,25.3
