County,Year,Variable,Average,CI_Low,CI_High
Atkinson,2022,Years of Potential Life Lost Rate,11429.804405,8738.7897501,14120.819061
Atkinson,2022,Teen Birth Rate,56.640625,46.333082986,66.948167014
Atkinson,2022,Teen Birth Rate (Black),45.226130653,26.803871308,71.476784592
Atkinson,2022,Teen Birth Rate (Hispanic),44.709388972,30.165236992,63.825432779
Atkinson,2022,Teen Birth Rate (white),68.111455108,52.677394446,86.654471045
Atkinson,2022,Injury Death Rate,96.455268869,68.909058215,131.3446997
Atkinson,2022,Age-adjusted Death Rate,542.402582,455.22090169,629.58426231
Atkinson,2022,Child Mortality Rate,148.080647,78.846707951,253.2224162
Atkinson,2022,Motor Vehicle Mortality Rate,25.821555835,14.452128785,42.58872953
Atkinson,2022,Homicide Rate,17.214370557,8.2549597978,31.657840357
Atkinson,2022,Firearm Fatalities Rate,24.113817217,11.56351265,44.346168416
Bacon,2022,Years of Potential Life Lost Rate,12649.824162,10392.750491,14906.897832
Bacon,2022,YPLL Rate (Black),15445.220506,10178.497636,22471.98493
Bacon,2022,YPLL Rate (white),12715.129935,9992.3862662,15437.873604
Bacon,2022,Teen Birth Rate,38.182512409,30.698739977,45.666284842
Bacon,2022,Teen Birth Rate (Black),55.813953488,35.76105315,83.04673859
Bacon,2022,Teen Birth Rate (Hispanic),58.823529412,34.86255157,92.966536822
Bacon,2022,Teen Birth Rate (white),30.999465526,23.539193843,40.073997726
Bacon,2022,Injury Death Rate,82.03152864,60.057388917,109.41856358
Bacon,2022,Injury Death Rate (Black),106.46225913,51.052791399,195.78788504
Bacon,2022,Injury Death Rate (white),79.692820401,54.856870663,111.91834932
Bacon,2022,Age-adjusted Death Rate,627.17099373,545.394574,708.94741346
Bacon,2022,Motor Vehicle Mortality Rate,31.783970708,20.568909998,46.919410722
Bacon,2022,Firearm Fatalities Rate,24.966117412,13.64920871,41.888902778
Baker,2022,Teen Birth Rate,19.292604502,9.9687702713,33.700297505
Baker,2022,Injury Death Rate,103.55316808,59.189582898,168.16385734
Baker,2022,Age-adjusted Death Rate,408.77263673,295.83078407,550.61405909
Baldwin,2022,Years of Potential Life Lost Rate,10743.880714,9580.5963229,11907.165104
Baldwin,2022,YPLL Rate (Black),12609.998996,10745.126348,14474.871644
Baldwin,2022,YPLL Rate (white),9932.4902754,8323.2884465,11541.692104
Baldwin,2022,Teen Birth Rate,13.832888779,12.017304034,15.648473523
Baldwin,2022,Teen Birth Rate (Black),23.741007194,19.690883889,27.791130499
Baldwin,2022,Teen Birth Rate (white),8.173273396,6.4808974858,10.172346237
Baldwin,2022,Injury Death Rate,72.044187101,60.949948306,83.138425897
Baldwin,2022,Injury Death Rate (Black),73.861390259,57.686358586,93.166093572
Baldwin,2022,Injury Death Rate (white),75.639786528,60.823320697,92.974139421
Baldwin,2022,Age-adjusted Death Rate,523.49663729,484.82028423,562.17299036
Baldwin,2022,Child Mortality Rate,71.522231494,45.825643267,106.41941112
Baldwin,2022,Infant Mortality Rate,8.8046054859,5.7514606216,12.900787024
Baldwin,2022,Motor Vehicle Mortality Rate,18.973531923,14.478803703,24.422696584
Baldwin,2022,MV Mortality Rate (Black),18.583768194,12.026434925,27.433307835
Baldwin,2022,MV Mortality Rate (white),20.825771595,14.505912974,28.963606886
Baldwin,2022,Homicide Rate,11.700344686,8.2381224321,16.127383911
Baldwin,2022,Suicide Rate (Age-Adjusted),12.627108887,8.1715990937,18.640103641
Baldwin,2022,Firearm Fatalities Rate,20.901708603,15.357789296,27.794841432
Baldwin,2022,Firearm Fatalities Rate (Black),23.926929239,15.167620661,35.902141871
Baldwin,2022,Firearm Fatalities Rate (white),20.170609741,12.923690259,30.012268432
Banks,2022,Years of Potential Life Lost Rate,9607.6583348,7822.1847169,11393.131953
Banks,2022,Teen Birth Rate,24.047070862,19.432481044,29.427524617
Banks,2022,Teen Birth Rate (Hispanic),26.041666667,12.487991396,47.891552193
Banks,2022,Teen Birth Rate (white),23.802350105,18.84454473,29.664830119
Banks,2022,Injury Death Rate,85.619153322,67.993966486,106.41679
Banks,2022,Age-adjusted Death Rate,420.33329674,370.59712555,470.06946792
Banks,2022,Child Mortality Rate,113.38545086,68.265448257,177.06542682
Banks,2022,Infant Mortality Rate,14.46131598,8.8333474949,22.334329648
Banks,2022,Drug Overdose Mortality Rate,19.105846389,9.5375696794,34.185636769
Banks,2022,Motor Vehicle Mortality Rate,26.63723886,18.553812856,37.04595104
Banks,2022,Suicide Rate (Age-Adjusted),17.73330894,9.9251983975,29.248396299
Banks,2022,Firearm Fatalities Rate,13.741345595,7.3166877977,23.498119463
Barrow,2022,Years of Potential Life Lost Rate,8252.1339226,7591.4589404,8912.8089047
Barrow,2022,YPLL Rate (Black),9391.7965205,7406.1247378,11377.468303
Barrow,2022,YPLL Rate (Hispanic),4275.9191468,3094.5038883,5759.6350298
Barrow,2022,YPLL Rate (white),8740.2064516,7906.0027671,9574.4101361
Barrow,2022,Teen Birth Rate,19.612367328,17.527652615,21.697082042
Barrow,2022,Teen Birth Rate (Asian),18.421052632,10.07096089,30.907396213
Barrow,2022,Teen Birth Rate (Black),18.708730741,13.929878884,24.598525817
Barrow,2022,Teen Birth Rate (Hispanic),21.42310635,16.182784309,27.819685542
Barrow,2022,Teen Birth Rate (white),19.567548249,16.975933593,22.159162905
Barrow,2022,Injury Death Rate,74.416495821,66.023407067,82.809584575
Barrow,2022,Injury Death Rate (Black),41.15710254,25.476895155,62.913003165
Barrow,2022,Injury Death Rate (Hispanic),29.785332851,16.283918636,49.974727404
Barrow,2022,Injury Death Rate (white),89.564681201,78.677732369,100.45163003
Barrow,2022,Age-adjusted Death Rate,431.15711802,406.08791003,456.22632601
Barrow,2022,Child Mortality Rate,51.66502278,37.539884644,69.357881594
Barrow,2022,Infant Mortality Rate,5.2475780409,3.7315409701,7.1736119303
Barrow,2022,Drug Overdose Mortality Rate,17.225010716,12.465825664,23.201976394
Barrow,2022,Motor Vehicle Mortality Rate,16.773863075,13.538672362,20.549115499
Barrow,2022,MV Mortality Rate (Black),18.964259664,10.097669571,32.429461587
Barrow,2022,MV Mortality Rate (white),18.471000529,14.503708239,23.188649695
Barrow,2022,Homicide Rate,4.328738858,2.7735046651,6.4408202949
Barrow,2022,Suicide Rate (Age-Adjusted),17.868013256,13.955066596,22.538067442
Barrow,2022,Firearm Fatalities Rate,12.320611891,9.1445956221,16.243190808
Bartow,2022,Years of Potential Life Lost Rate,9339.3243732,8693.8337652,9984.8149812
Bartow,2022,YPLL Rate (Black),10693.065604,8682.1811335,12703.950075
Bartow,2022,YPLL Rate (Hispanic),3611.7306898,2418.8327269,5187.047737
Bartow,2022,YPLL Rate (white),9748.0251112,8987.3179571,10508.732265
Bartow,2022,Teen Birth Rate,28.011204482,25.874148557,30.148260407
Bartow,2022,Teen Birth Rate (Black),28.428093645,22.707351507,35.151778033
Bartow,2022,Teen Birth Rate (Hispanic),33.452419617,26.991936516,39.912902718
Bartow,2022,Teen Birth Rate (white),27.124985385,24.656863552,29.593107219
Bartow,2022,Injury Death Rate,83.766408168,75.992157571,91.540658765
Bartow,2022,Injury Death Rate (Black),65.219572561,46.377491704,89.157302695
Bartow,2022,Injury Death Rate (Hispanic),33.759547622,19.296498404,54.823390297
Bartow,2022,Injury Death Rate (white),92.781280717,83.537259111,102.02530232
Bartow,2022,Age-adjusted Death Rate,470.25771512,447.86078883,492.65464141
Bartow,2022,Child Mortality Rate,57.376252067,43.677461469,74.011184832
Bartow,2022,Child Mortality Rate (Black),91.876579129,47.473969135,160.48989395
Bartow,2022,Child Mortality Rate (white),53.139306736,37.787241783,72.643181635
Bartow,2022,Infant Mortality Rate,6.2312228775,4.7069987963,8.0917612115
Bartow,2022,Drug Overdose Mortality Rate,23.178767013,18.231570625,29.054785163
Bartow,2022,Motor Vehicle Mortality Rate,17.776788671,14.732584805,20.820992536
Bartow,2022,MV Mortality Rate (Black),19.485817978,11.137828614,31.643747607
Bartow,2022,MV Mortality Rate (white),18.804223877,15.274032616,22.334415138
Bartow,2022,Homicide Rate,4.7495236906,3.3082172734,6.6054377119
Bartow,2022,Homicide Rate (Black),12.178636236,5.8401294542,22.396945649
Bartow,2022,Homicide Rate (white),3.6228321231,2.2425901842,5.5378837373
Bartow,2022,Suicide Rate (Age-Adjusted),17.523236414,14.126201757,21.490693893
Bartow,2022,Firearm Fatalities Rate,16.715718222,13.424094326,20.570129649
Ben Hill,2022,Years of Potential Life Lost Rate,13654.760997,11632.579383,15676.942611
Ben Hill,2022,YPLL Rate (Black),15543.994185,12143.423955,18944.564415
