County,Year,Variable,Average,CI_Low,CI_High
Appling,2022,Average Number of Physically Unhealthy Days,5.533206241,5.2409338017,5.8216213651
Appling,2022,Average Number of Mentally Unhealthy Days,5.9385208699,5.6749508237,6.1997991818
Appling,2022,% Adults with Obesity,36.6,35.4,37.8
Appling,2022,% Excessive Drinking,16.700185034,15.91064158,17.514144866
Appling,2022,Teen Birth Rate,49.379524302,42.37648942,56.382559184
Appling,2022,% Uninsured,20.584402222,18.320572435,22.84823201
Appling,2022,Preventable Hospitalization Rate,4999.0,,
Appling,2022,% Unemployed,4.73366282,,
Appling,2022,% Children in Poverty,29.9,18.938297872,40.861702128
Appling,2022,Injury Death Rate,95.478859028,76.576836906,117.63262474
Appling,2022,Drug Overdose Mortality Rate,,,
Appling,2022,Median Household Income,44871.0,36335.170213,53406.829787
Appling,2022,Suicide Rate (Age-Adjusted),12.775244713,6.3773561318,22.858441678
Atkinson,2022,Average Number of Physically Unhealthy Days,5.9493040074,5.658801902,6.26217936
Atkinson,2022,Average Number of Mentally Unhealthy Days,5.9128153167,5.6497644155,6.1623512618
Atkinson,2022,% Adults with Obesity,38.4,37.1,39.6
Atkinson,2022,% Excessive Drinking,15.508178619,14.761037679,16.254429092
Atkinson,2022,Teen Birth Rate,56.640625,46.333082986,66.948167014
Atkinson,2022,% Uninsured,23.802505527,21.181228931,26.423782123
Atkinson,2022,Preventable Hospitalization Rate,5385.0,,
Atkinson,2022,% Unemployed,3.87911592,,
Atkinson,2022,% Children in Poverty,33.8,21.527659574,46.072340426
Atkinson,2022,Injury Death Rate,96.455268869,68.909058215,131.3446997
Atkinson,2022,Drug Overdose Mortality Rate,,,
Atkinson,2022,Median Household Income,39633.0,32279.12766,46986.87234
Atkinson,2022,Suicide Rate (Age-Adjusted),,,
Bacon,2022,Average Number of Physically Unhealthy Days,5.5629099646,5.2893168642,5.8216649718
Bacon,2022,Average Number of Mentally Unhealthy Days,6.0193916087,5.7529339738,6.2627223418
Bacon,2022,% Adults with Obesity,38.4,37.1,39.9
Bacon,2022,% Excessive Drinking,16.512531973,15.747509835,17.342157141
Bacon,2022,Teen Birth Rate,38.182512409,30.698739977,45.666284842
Bacon,2022,% Uninsured,19.577670448,17.313840661,21.841500235
Bacon,2022,Preventable Hospitalization Rate,10029.0,,
Bacon,2022,% Unemployed,4.87962167,,
Bacon,2022,% Children in Poverty,29.0,17.442553191,40.557446809
Bacon,2022,Injury Death Rate,82.03152864,60.057388917,109.41856358
Bacon,2022,Drug Overdose Mortality Rate,,,
Bacon,2022,Median Household Income,41756.0,34045.87234,49466.12766
Bacon,2022,Suicide Rate (Age-Adjusted),,,
Baker,2022,Average Number of Physically Unhealthy Days,5.0170191281,4.772560521,5.2764675279
Baker,2022,Average Number of Mentally Unhealthy Days,5.5367124527,5.2875113352,5.768487977
Baker,2022,% Adults with Obesity,37.8,36.5,39.0
Baker,2022,% Excessive Drinking,16.878442826,16.23221401,17.588245275
Baker,2022,Teen Birth Rate,19.292604502,9.9687702713,33.700297505
Baker,2022,% Uninsured,18.057996485,15.555868825,20.560124145
Baker,2022,Preventable Hospitalization Rate,,,
Baker,2022,% Unemployed,6.02620087,,
Baker,2022,% Children in Poverty,39.5,24.010638298,54.989361702
Baker,2022,Injury Death Rate,103.55316808,59.189582898,168.16385734
Baker,2022,Drug Overdose Mortality Rate,,,
Baker,2022,Median Household Income,43696.0,35512.851064,51879.148936
Baker,2022,Suicide Rate (Age-Adjusted),,,
Baldwin,2022,Average Number of Physically Unhealthy Days,4.9346639888,4.6456247437,5.2002948278
Baldwin,2022,Average Number of Mentally Unhealthy Days,5.5084118399,5.2245757338,5.7639194523
Baldwin,2022,% Adults with Obesity,39.5,38.2,40.7
Baldwin,2022,% Excessive Drinking,16.556346194,15.869107365,17.340701668
Baldwin,2022,Teen Birth Rate,13.832888779,12.017304034,15.648473523
Baldwin,2022,% Uninsured,16.931283339,14.786602487,19.07596419
Baldwin,2022,Preventable Hospitalization Rate,4101.0,,
Baldwin,2022,% Unemployed,6.92338275,,
Baldwin,2022,% Children in Poverty,30.9,18.985106383,42.814893617
Baldwin,2022,Injury Death Rate,72.044187101,60.949948306,83.138425897
Baldwin,2022,Drug Overdose Mortality Rate,,,
Baldwin,2022,Median Household Income,49350.0,43842.93617,54857.06383
Baldwin,2022,Suicide Rate (Age-Adjusted),12.627108887,8.1715990937,18.640103641
Banks,2022,Average Number of Physically Unhealthy Days,5.1376488462,4.8089256111,5.4803352209
Banks,2022,Average Number of Mentally Unhealthy Days,5.7989907326,5.4466411027,6.1230973052
Banks,2022,% Adults with Obesity,34.0,32.5,35.5
Banks,2022,% Excessive Drinking,18.973064799,18.084967583,19.990251507
Banks,2022,Teen Birth Rate,24.047070862,19.432481044,29.427524617
Banks,2022,% Uninsured,21.309077031,19.045247243,23.572906818
Banks,2022,Preventable Hospitalization Rate,5438.0,,
Banks,2022,% Unemployed,4.28512988,,
Banks,2022,% Children in Poverty,17.2,10.408510638,23.991489362
Banks,2022,Injury Death Rate,85.619153322,67.993966486,106.41679
Banks,2022,Drug Overdose Mortality Rate,19.105846389,9.5375696794,34.185636769
Banks,2022,Median Household Income,62836.0,54515.829787,71156.170213
Banks,2022,Suicide Rate (Age-Adjusted),17.73330894,9.9251983975,29.248396299
Barrow,2022,Average Number of Physically Unhealthy Days,4.516112967,4.2493484489,4.7782173745
Barrow,2022,Average Number of Mentally Unhealthy Days,5.2346739847,4.9699551779,5.4952003128
Barrow,2022,% Adults with Obesity,33.0,31.7,34.2
Barrow,2022,% Excessive Drinking,18.234491947,17.396273411,18.989574919
Barrow,2022,Teen Birth Rate,19.612367328,17.527652615,21.697082042
Barrow,2022,% Uninsured,17.795965768,16.008731726,19.583199811
Barrow,2022,Preventable Hospitalization Rate,4750.0,,
Barrow,2022,% Unemployed,5.12315517,,
Barrow,2022,% Children in Poverty,13.0,8.2340425532,17.765957447
Barrow,2022,Injury Death Rate,74.416495821,66.023407067,82.809584575
Barrow,2022,Drug Overdose Mortality Rate,17.225010716,12.465825664,23.201976394
Barrow,2022,Median Household Income,64460.0,57564.851064,71355.148936
Barrow,2022,Suicide Rate (Age-Adjusted),17.868013256,13.955066596,22.538067442
Bartow,2022,Average Number of Physically Unhealthy Days,4.6986807488,4.4281321037,4.9933031852
Bartow,2022,Average Number of Mentally Unhealthy Days,5.4440705638,5.1475703918,5.7455530802
Bartow,2022,% Adults with Obesity,32.3,31.0,33.6
Bartow,2022,% Excessive Drinking,17.887144741,17.048275889,18.74035396
Bartow,2022,Teen Birth Rate,28.011204482,25.874148557,30.148260407
Bartow,2022,% Uninsured,17.95119382,16.163959778,19.738427863
Bartow,2022,Preventable Hospitalization Rate,5031.0,,
Bartow,2022,% Unemployed,6.24912005,,
Bartow,2022,% Children in Poverty,15.3,9.2234042553,21.376595745
Bartow,2022,Injury Death Rate,83.766408168,75.992157571,91.540658765
Bartow,2022,Drug Overdose Mortality Rate,23.178767013,18.231570625,29.054785163
Bartow,2022,Median Household Income,64980.0,56719.404255,73240.595745
Bartow,2022,Suicide Rate (Age-Adjusted),17.523236414,14.126201757,21.490693893
Ben Hill,2022,Average Number of Physically Unhealthy Days,5.4152509153,5.1776898785,5.6642970104
Ben Hill,2022,Average Number of Mentally Unhealthy Days,5.8794150033,5.6457743484,6.0956183108
Ben Hill,2022,% Adults with Obesity,39.4,38.3,40.6
Ben Hill,2022,% Excessive Drinking,15.874997214,15.197909387,16.569429334
Ben Hill,2022,Teen Birth Rate,50.866405813,43.476286857,58.256524769
Ben Hill,2022,% Uninsured,17.136626814,15.111094899,19.162158729
Ben Hill,2022,Preventable Hospitalization Rate,5257.0,,
Ben Hill,2022,% Unemployed,6.9047619,,
Ben Hill,2022,% Children in Poverty,32.7,20.070212766,45.329787234
Ben Hill,2022,Injury Death Rate,96.039838748,76.269494895,119.36875051
Ben Hill,2022,Drug Overdose Mortality Rate,,,
Ben Hill,2022,Median Household Income,39305.0,32453.93617,46156.06383
Ben Hill,2022,Suicide Rate (Age-Adjusted),19.605644587,10.973130446,32.336529213
Berrien,2022,Average Number of Physically Unhealthy Days,5.4069213558,5.1074096007,5.7006188744
Berrien,2022,Average Number of Mentally Unhealthy Days,5.9877450288,5.6990322283,6.2810633652
Berrien,2022,% Adults with Obesity,36.5,35.1,37.8
Berrien,2022,% Excessive Drinking,16.498899288,15.597271546,17.357335571
Berrien,2022,Teen Birth Rate,41.708043694,35.401066649,48.015020739
Berrien,2022,% Uninsured,21.116705972,18.733727249,23.499684696
Berrien,2022,Preventable Hospitalization Rate,4767.0,,
Berrien,2022,% Unemployed,5.77987846,,
Berrien,2022,% Children in Poverty,26.6,16.591489362,36.608510638
Berrien,2022,Injury Death Rate,87.285423334,69.62227206,108.06529341
Berrien,2022,Drug Overdose Mortality Rate,18.946897015,9.4582227246,33.901232432
Berrien,2022,Median Household Income,45094.0,36988.297872,53199.702128
Berrien,2022,Suicide Rate (Age-Adjusted),21.738974548,13.278730416,33.574083052
Bibb,2022,Average Number of Physically Unhealthy Days,4.9126565598,4.6466650387,5.187210866
Bibb,2022,Average Number of Mentally Unhealthy Days,5.4647776574,5.1775139767,5.7445102815
Bibb,2022,% Adults with Obesity,38.7,37.4,40.0
Bibb,2022,% Excessive Drinking,15.967268758,15.339920336,16.613729065
Bibb,2022,Teen Birth Rate,36.392152693,34.464352172,38.319953214
Bibb,2022,% Uninsured,14.589987588,13.041051418,16.138923758
Bibb,2022,Preventable Hospitalization Rate,4921.0,,
Bibb,2022,% Unemployed,7.49024785,,
Bibb,2022,% Children in Poverty,37.4,28.582978723,46.217021277
Bibb,2022,Injury Death Rate,86.579746878,79.984312731,93.175181026
Bibb,2022,Drug Overdose Mortality Rate,8.7147678277,6.2259579037,11.867040304
Bibb,2022,Median Household Income,44467.0,37997.212766,50936.787234
Bibb,2022,Suicide Rate (Age-Adjusted),13.741053362,11.033213787,16.448892937
Bleckley,2022,Average Number of Physically Unhealthy Days,4.8784808603,4.6281874491,5.1471021352
Bleckley,2022,Average Number of Mentally Unhealthy Days,5.6277716557,5.3531704882,5.8921018444
Bleckley,2022,% Adults with Obesity,37.7,36.3,39.0
Bleckley,2022,% Excessive Drinking,16.992984228,16.253886249,17.807362789
Bleckley,2022,Teen Birth Rate,18.395721925,14.714203047,22.718566927
Bleckley,2022,% Uninsured,14.478223372,12.452691457,16.503755287
Bleckley,2022,Preventable Hospitalization Rate,2619.0,,
Bleckley,2022,% Unemployed,6.48744723,,
Bleckley,2022,% Children in Poverty,28.1,18.687234043,37.512765957
Bleckley,2022,Injury Death Rate,76.009059039,56.231920313,100.488007
Bleckley,2022,Drug Overdose Mortality Rate,,,
Bleckley,2022,Median Household Income,51448.0,42283.06383,60612.93617
Bleckley,2022,Suicide Rate (Age-Adjusted),,,
Brantley,2022,Average Number of Physically Unhealthy Days,5.5897712446,5.2444354249,5.9267205252
Brantley,2022,Average Number of Mentally Unhealthy Days,6.2317966594,5.8817180447,6.5768777971
Brantley,2022,% Adults with Obesity,38.1,36.4,39.7
Brantley,2022,% Excessive Drinking,17.256172283,16.28393548,18.317313876
Brantley,2022,Teen Birth Rate,43.932038835,37.531771084,50.332306586
Brantley,2022,% Uninsured,18.591675752,16.327845965,20.855505539
Brantley,2022,Preventable Hospitalization Rate,4908.0,,
Brantley,2022,% Unemployed,5.38956397,,
Brantley,2022,% Children in Poverty,26.6,16.591489362,36.608510638
Brantley,2022,Injury Death Rate,102.86974781,83.420435631,125.49236848
Brantley,2022,Drug Overdose Mortality Rate,20.976087261,10.838650379,36.641003091
Brantley,2022,Median Household Income,39256.0,31444.595745,47067.404255
Brantley,2022,Suicide Rate (Age-Adjusted),19.139579587,11.149510425,30.644320999
Brooks,2022,Average Number of Physically Unhealthy Days,5.1513838745,4.8881520892,5.4311536979
Brooks,2022,Average Number of Mentally Unhealthy Days,5.6609143377,5.3880940499,5.9357419226
Brooks,2022,% Adults with Obesity,37.0,35.8,38.1
Brooks,2022,% Excessive Drinking,15.985191704,15.283336725,16.661298881
Brooks,2022,Teen Birth Rate,35.752592063,28.745084019,42.760100107
Brooks,2022,% Uninsured,19.151925938,16.768947215,21.534904662
Brooks,2022,Preventable Hospitalization Rate,5126.0,,
Brooks,2022,% Unemployed,5.17392575,,
Brooks,2022,% Children in Poverty,32.5,19.75106383,45.24893617
Brooks,2022,Injury Death Rate,78.607234443,60.128305771,100.97428115
Brooks,2022,Drug Overdose Mortality Rate,,,
Brooks,2022,Median Household Income,42973.0,35539.297872,50406.702128
Brooks,2022,Suicide Rate (Age-Adjusted),15.838413671,7.9064790389,28.339297078
Bryan,2022,Average Number of Physically Unhealthy Days,3.9907703491,3.7141853631,4.2637889659
Bryan,2022,Average Number of Mentally Unhealthy Days,4.9045417696,4.6165821079,5.2009268905
Bryan,2022,% Adults with Obesity,33.6,32.2,34.9
Bryan,2022,% Excessive Drinking,19.283200549,18.409178188,20.192639768
Bryan,2022,Teen Birth Rate,18.50210503,15.69590272,21.30830734
Bryan,2022,% Uninsured,12.616190637,11.067254467,14.165126807
Bryan,2022,Preventable Hospitalization Rate,3155.0,,
Bryan,2022,% Unemployed,5.2676568,,
Bryan,2022,% Children in Poverty,9.8,6.1063829787,13.493617021
Bryan,2022,Injury Death Rate,75.607072651,63.300574419,87.913570883
Bryan,2022,Drug Overdose Mortality Rate,15.191027167,9.0031654559,24.00837217
Bryan,2022,Median Household Income,81890.0,68750.255319,95029.744681
Bryan,2022,Suicide Rate (Age-Adjusted),16.646370121,11.310400868,23.628193632
Bulloch,2022,Average Number of Physically Unhealthy Days,4.9575382684,4.6985957895,5.2478732194
Bulloch,2022,Average Number of Mentally Unhealthy Days,5.5925147937,5.3162478885,5.8694257644
Bulloch,2022,% Adults with Obesity,37.5,36.2,38.9
Bulloch,2022,% Excessive Drinking,16.542097212,15.788912415,17.307660916
Bulloch,2022,Teen Birth Rate,14.031226357,12.669713895,15.392738818
Bulloch,2022,% Uninsured,16.675610834,14.650078919,18.701142749
