County,Year,Variable,Value
Appling,2016,Percent of Deaths by Cause-Drug Overdoses,*
Atkinson,2016,Percent of Deaths by Cause-Drug Overdoses,*
Bacon,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Baker,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Baldwin,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Banks,2016,Percent of Deaths by Cause-Drug Overdoses,*
Barrow,2016,Percent of Deaths by Cause-Drug Overdoses,2.3
Bartow,2016,Percent of Deaths by Cause-Drug Overdoses,2.3
Berrien,2016,Percent of Deaths by Cause-Drug Overdoses,*
Bibb,2016,Percent of Deaths by Cause-Drug Overdoses,0.9
Bleckley,2016,Percent of Deaths by Cause-Drug Overdoses,*
Brantley,2016,Percent of Deaths by Cause-Drug Overdoses,3.0
Brooks,2016,Percent of Deaths by Cause-Drug Overdoses,*
Bryan,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Bulloch,2016,Percent of Deaths by Cause-Drug Overdoses,*
Burke,2016,Percent of Deaths by Cause-Drug Overdoses,*
Butts,2016,Percent of Deaths by Cause-Drug Overdoses,*
Calhoun,2016,Percent of Deaths by Cause-Drug Overdoses,*
Camden,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Candler,2016,Percent of Deaths by Cause-Drug Overdoses,*
Carroll,2016,Percent of Deaths by Cause-Drug Overdoses,2.6
Catoosa,2016,Percent of Deaths by Cause-Drug Overdoses,3.3
Charlton,2016,Percent of Deaths by Cause-Drug Overdoses,*
Chatham,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Chattahoochee,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Chattooga,2016,Percent of Deaths by Cause-Drug Overdoses,2.2
Cherokee,2016,Percent of Deaths by Cause-Drug Overdoses,3.2
Clarke,2016,Percent of Deaths by Cause-Drug Overdoses,2.3
Clay,2016,Percent of Deaths by Cause-Drug Overdoses,*
Clayton,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Clinch,2016,Percent of Deaths by Cause-Drug Overdoses,*
Cobb,2016,Percent of Deaths by Cause-Drug Overdoses,2.9
Coffee,2016,Percent of Deaths by Cause-Drug Overdoses,1.6
Colquitt,2016,Percent of Deaths by Cause-Drug Overdoses,*
Columbia,2016,Percent of Deaths by Cause-Drug Overdoses,2.1
Cook,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Coweta,2016,Percent of Deaths by Cause-Drug Overdoses,1.6
Crawford,2016,Percent of Deaths by Cause-Drug Overdoses,*
Crisp,2016,Percent of Deaths by Cause-Drug Overdoses,*
Dade,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
