County,Year,Measure,Cause,Value
Barrow,2019,ER Visit Rate, Falls,2328.2
Bartow,2019,ER Visit Rate, Falls,2652.7
Bibb,2019,ER Visit Rate, Falls,2718.1
Bulloch,2019,ER Visit Rate, Falls,2065.1
Camden,2019,ER Visit Rate, Falls,2482.3
Carroll,2019,ER Visit Rate, Falls,3081.9
Catoosa,2019,ER Visit Rate, Falls,710.3
Chatham,2019,ER Visit Rate, Falls,2206.8
Cherokee,2019,ER Visit Rate, Falls,1611.1
Clarke,2019,ER Visit Rate, Falls,1733.0
Clayton,2019,ER Visit Rate, Falls,1144.2
Cobb,2019,ER Visit Rate, Falls,1264.5
Columbia,2019,ER Visit Rate, Falls,1327.3
Coweta,2019,ER Visit Rate, Falls,1799.9
DeKalb,2019,ER Visit Rate, Falls,1053.3
Dougherty,2019,ER Visit Rate, Falls,1612.2
Douglas,2019,ER Visit Rate, Falls,2162.0
Effingham,2019,ER Visit Rate, Falls,2127.7
Fayette,2019,ER Visit Rate, Falls,1584.5
Floyd,2019,ER Visit Rate, Falls,3012.2
Forsyth,2019,ER Visit Rate, Falls,1241.8
Fulton,2019,ER Visit Rate, Falls,1217.9
Glynn,2019,ER Visit Rate, Falls,2007.2
Gordon,2019,ER Visit Rate, Falls,2888.0
Gwinnett,2019,ER Visit Rate, Falls,1165.4
Hall,2019,ER Visit Rate, Falls,2047.0
Henry,2019,ER Visit Rate, Falls,1237.2
Houston,2019,ER Visit Rate, Falls,1915.0
Jackson,2019,ER Visit Rate, Falls,2470.6
Liberty,2019,ER Visit Rate, Falls,1515.4
Lowndes,2019,ER Visit Rate, Falls,1822.7
Muscogee,2019,ER Visit Rate, Falls,2475.4
Newton,2019,ER Visit Rate, Falls,2288.3
Paulding,2019,ER Visit Rate, Falls,2098.2
Richmond,2019,ER Visit Rate, Falls,1828.0
Rockdale,2019,ER Visit Rate, Falls,2014.4
Spalding,2019,ER Visit Rate, Falls,2745.0
Troup,2019,ER Visit Rate, Falls,2581.4
Walker,2019,ER Visit Rate, Falls,1258.6
Walton,2019,ER Visit Rate, Falls,2727.5
Whitfield,2019,ER Visit Rate, Falls,2244.1
Barrow,2019,ER Visit Rate, All Other Unintentional Injury,4010.1
Bartow,2019,ER Visit Rate, All Other Unintentional Injury,4350.4
Bibb,2019,ER Visit Rate, All Other Unintentional Injury,4641.6
Bulloch,2019,ER Visit Rate, All Other Unintentional Injury,3847.6
