County,Year,% Adults with Obesity,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ACSC Rate,Age-Adjusted Death Rate,Age-Adjusted Death Rate-All Opioids,Age-Adjusted Death Rate-Drug Overdoses,Age-adjusted Death Rate,Average Number of Mentally Unhealthy Days,Average Number of Physically Unhealthy Days,Child Mortality Rate,Child Mortality Rate (Asian),Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),Child Mortality Rate (white),Death Rate-All Opioids,Death Rate-Drug Overdoses,Drug Overdose Mortality Rate,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (white),ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Firearm Fatalities Rate,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (White),Firearm Fatalities Rate (white),Homicide Rate,Homicide Rate (Asian),Homicide Rate (Black),Homicide Rate (Hispanic),Homicide Rate (White),Homicide Rate (white),Infant Mortality Rate,Infant Mortality Rate (Asian),Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),Infant Mortality Rate (white),Injury Death Rate,Injury Death Rate (Asian),Injury Death Rate (Black),Injury Death Rate (Hispanic),Injury Death Rate (White),Injury Death Rate (white),MV Mortality Rate,MV Mortality Rate (Asian),MV Mortality Rate (Black),MV Mortality Rate (Hispanic),MV Mortality Rate (White),MV Mortality Rate (white),Mammography Rate,Median Household Income,Motor Vehicle Mortality Rate,Percent of Deaths by Cause-All Opioids,Percent of Deaths by Cause-Drug Overdoses,Preventable Hosp. Rate,Preventable Hospitalization Rate,Suicide Rate (Age-Adjusted),Suicide Rate (Asian),Suicide Rate (Black),Suicide Rate (Hispanic),Suicide Rate (White),Suicide Rate (white),Teen Birth Rate,Teen Birth Rate (Asian),Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),Teen Birth Rate (white),Violent Crime Rate,YPLL Rate,YPLL Rate (Asian),YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),YPLL Rate (white),Years of Potential Life Lost Rate
Appling,2011,,31.3,13.2,23.0,,24.6,,,,,,,,,,,,,,,,,,,,,,4598.3,3045.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,,,,,,,,,,,,,
Appling,2012,,35.7,11.0,20.2,10.7,23.7,,,0.0,,,,,,,,,,,,,,,,,,,4943.4,2972.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,79.8,,,,,,,,,,,,,
Appling,2013,,34.0,9.6,24.8,11.0,24.9,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,4251.6,2879.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,88.350465002,,,,,,,,,,,,,
Appling,2014,,34.8,,27.8,10.317787866,25.189602645,,,,,,,,,,,,,,,,,,,,,,4606.3,2820.9,,,,,,,,,,,,,,,,,,,116.4,,,,,,,,,,,,,,,,,,,,,,,,,91.405861898,,,,,,211.08465036,,,,,,,
Appling,2015,,40.3,,27.8,10.023661002,24.231523872,,,0.0,,,,,,,,,,,0.0,,,,,,,,4248.4,2920.8,,,,,,,,,,,,,,,,,,,104.05143427,,,,,,,,,,,,,,,0.0,,,,,,,,,,91.067429709,,,,,,186.0189254,,,,,,,
Appling,2016,,36.5,14.2,17.9,8.9411222491,24.051211706,,,,,,,,,,,,,,,,,,,,,,3581.5,2968.3,,,,,,,,,,,,,,,,,,,79.687363549,,,,,,,,,,,,,,,,,,,,,,,,,86.215538847,,,,,,186.0189254,,,,,,,
Appling,2017,,34.2,15.064098856,18.638610508,7.0938999315,20.902255639,,,0.0,,,,,,,,,,,0.0,,,,,,,,3444.7,2802.2,,,,,,,,,,,,,,,,,,,82.409837132,,,,,,,,,,,,,,,0.0,,,,,,,,,,81.292602878,,,,,,161.14304131,,,,,,,
Appling,2018,,31.6,14.686055105,20.200401211,6.4250946458,19.165286519,,,,,,,,,,,,,,,,,,,,,,3366.3,2539.6,,,,,,,,,,,,,,,,,,,73.728721674,,,,,,,,,,,,,,,,,,,,,,,,,71.70492649,,,,,,161.14304131,,,,,,,
Appling,2019,,33.5,14.686055105,20.200401211,5.5285606306,17.608928094,,,,,,,,,,,,,,,,,,,,,,3883.4,2659.6,,,,,,,,,,,,,,,,,,,80.101317342,,,,,,,,,,,,,,,,,,,,,,,,,66.978193146,,,,,,379.19826652,,,,,,,
Appling,2020,38.8,34.0,14.310234745,20.18941483,4.3454223795,19.145356662,,,,,,4.2975712831,4.1561778933,,,,,,,,,,,,,,,3116.0,2510.2,,,,,,,,,,,,,,,,,,,93.023255814,,,,,,,,,,,,,42781.0,,,,,7237.0,18.495677821,,,,,,58.610895946,,,,,,379.19826652,,,,,,,
